User_ID,Industry,Job_Role,Location,Experience_Years,Primary_AI_Tool,Daily_Token_Usage,Tasks_Automated_Per_Week,Productivity_Gain_Percent,Adoption_Date
USR-8F6DEB1C,Marketing,Marketing Analyst,North America,5,ChatGPT (OpenAI),13227,1,14.2,2023-12-20
USR-2D6A8443,Healthcare,Healthcare Analyst,Latin America,25,ChatGPT (OpenAI),15293,1,14.8,2023-11-13
USR-691707CD,Creative & Design,UI/UX Designer,Europe,12,Midjourney,2101,1,3.2,2024-04-04
USR-5B529A9A,Finance,Accountant,Europe,5,Gemini (Google),13941,1,16.1,2023-02-23
USR-D31BA052,Healthcare,Healthcare Analyst,Europe,25,Perplexity,9954,1,19.9,2023-11-05
USR-A6129D3A,Software Development,Data Scientist,North America,21,ChatGPT (OpenAI),7351,2,17.3,2023-10-14
USR-EED8384A,Healthcare,Clinical Admin,Middle East & Africa,17,Perplexity,9165,1,9.6,2023-12-07
USR-B45F6D41,Marketing,Content Writer,Europe,22,ChatGPT (OpenAI),14730,3,26.0,2023-07-31
USR-275E0B6D,Finance,Investment Banker,North America,12,Claude (Anthropic),14762,1,15.6,2023-10-21
USR-474CA3A4,Healthcare,Healthcare Analyst,North America,3,Claude (Anthropic),13110,2,20.8,2024-06-17
USR-1991FD30,Healthcare,Healthcare Analyst,North America,2,Perplexity,16943,2,24.4,2023-07-30
USR-EC8C8AA1,Healthcare,Clinical Admin,Europe,18,ChatGPT (OpenAI),5655,1,10.2,2023-06-28
USR-4E1B1B28,Software Development,QA Tester,Asia-Pacific,15,ChatGPT (OpenAI),10765,1,13.8,2023-01-23
USR-6766F3ED,Software Development,QA Tester,Asia-Pacific,23,Perplexity,8818,2,20.2,2023-11-07
USR-D203B17B,Marketing,SEO Specialist,North America,3,ChatGPT (OpenAI),6040,2,4.9,2024-10-24
USR-77F04530,Marketing,Social Media Manager,North America,6,Gemini (Google),11253,3,24.7,2024-08-06
USR-A5B532D3,Education,Instructional Designer,Asia-Pacific,5,ChatGPT (OpenAI),2359,3,2.3,2023-04-04
USR-A8F1E73D,Finance,Accountant,North America,14,Perplexity,14925,1,16.4,2023-07-21
USR-70DF1107,Education,Professor,North America,5,Perplexity,12303,3,24.1,2024-05-21
USR-23F2F865,Marketing,SEO Specialist,North America,5,Claude (Anthropic),5951,2,7.2,2023-08-22
USR-5AC8F707,Education,Instructional Designer,North America,15,Claude (Anthropic),2861,3,1.6,2026-03-29
USR-BD09ED3E,Marketing,Marketing Analyst,Europe,2,Claude (Anthropic),2947,3,2.7,2023-03-03
USR-DA176B43,Software Development,QA Tester,North America,25,Claude (Anthropic),12875,3,24.6,2023-07-19
USR-065CA53B,Creative & Design,UI/UX Designer,North America,14,Claude (Anthropic),9389,1,7.2,2022-06-29
USR-55EDF8A0,Software Development,DevOps Engineer,Middle East & Africa,17,Gemini (Google),4024,2,3.1,2023-11-25
USR-97527F09,Healthcare,Healthcare Analyst,North America,19,Perplexity,11067,1,15.5,2024-05-15
USR-2B2AEDBB,Education,Teacher,Europe,8,ChatGPT (OpenAI),9699,1,14.5,2024-02-09
USR-6A805CA4,Creative & Design,UI/UX Designer,Europe,6,Midjourney,737,2,0.8,2023-06-17
USR-6034EA9B,Education,Professor,North America,9,Claude (Anthropic),982,2,1.4,2023-11-05
USR-93D0044D,Education,Instructional Designer,Asia-Pacific,3,Claude (Anthropic),14339,2,19.1,2021-08-01
USR-122E7CDF,Creative & Design,Video Editor,Europe,10,Midjourney,2737,2,4.5,2023-12-27
USR-BE67B210,Software Development,Software Engineer,Europe,16,GitHub Copilot,25157,2,17.7,2026-06-06
USR-5DB8013D,Finance,Investment Banker,North America,21,ChatGPT (OpenAI),9288,3,6.0,2023-05-28
USR-C45BB4E8,Marketing,Social Media Manager,Europe,6,Perplexity,9853,2,7.9,2024-01-13
USR-AC48575C,Marketing,Marketing Analyst,North America,20,ChatGPT (OpenAI),1024,3,0.9,2023-08-13
USR-BD14C7D9,Finance,Accountant,Europe,2,ChatGPT (OpenAI),15306,2,19.2,2023-06-04
USR-070E6B28,Marketing,Social Media Manager,North America,12,ChatGPT (OpenAI),1840,3,2.3,2024-04-21
USR-E842C010,Healthcare,Healthcare Analyst,Europe,19,ChatGPT (OpenAI),6939,1,16.2,2024-04-21
USR-E1725E80,Finance,Investment Banker,Middle East & Africa,2,Claude (Anthropic),14656,2,19.5,2023-09-06
USR-A1DF51AB,Finance,Investment Banker,Asia-Pacific,6,Claude (Anthropic),12967,3,25.9,2023-07-24
USR-105A7ACB,Healthcare,Medical Researcher,North America,10,ChatGPT (OpenAI),3542,2,2.5,2023-12-27
USR-21B28827,Healthcare,Clinical Admin,Europe,1,ChatGPT (OpenAI),13789,2,15.1,2023-08-01
USR-C8A3CB90,Healthcare,Clinical Admin,Europe,6,Claude (Anthropic),2288,3,3.7,2025-12-21
USR-E0B72455,Education,Student,Asia-Pacific,2,ChatGPT (OpenAI),2036,1,2.1,2024-10-18
USR-963F323C,Healthcare,Clinical Admin,North America,22,ChatGPT (OpenAI),5347,1,10.2,2024-09-29
USR-1957625E,Creative & Design,Video Editor,Asia-Pacific,17,Midjourney,2559,2,4.5,2023-12-12
USR-54B67A45,Creative & Design,Graphic Designer,North America,10,Midjourney,1344,1,2.2,2023-01-07
USR-DEEAE7A5,Creative & Design,UI/UX Designer,North America,15,ChatGPT (OpenAI),1009,3,1.6,2023-06-13
USR-21917943,Creative & Design,Graphic Designer,Asia-Pacific,24,ChatGPT (OpenAI),3828,3,6.4,2023-12-25
USR-918299AC,Creative & Design,Illustrator,Middle East & Africa,10,Gemini (Google),4095,1,3.6,2024-09-21
USR-17B30EDA,Marketing,Social Media Manager,Europe,14,Claude (Anthropic),4058,1,3.1,2024-02-10
USR-C9C3DEDB,Software Development,DevOps Engineer,North America,1,GitHub Copilot,19935,2,19.5,2024-02-22
USR-CB986080,Education,Instructional Designer,North America,7,ChatGPT (OpenAI),8631,1,8.2,2021-10-20
USR-C65CB4AA,Creative & Design,Video Editor,North America,22,Midjourney,1589,1,3.2,2023-09-11
USR-37D50856,Creative & Design,Video Editor,Middle East & Africa,4,ChatGPT (OpenAI),11412,2,18.1,2023-11-11
USR-1E0811DF,Marketing,Social Media Manager,Latin America,18,ChatGPT (OpenAI),3066,3,5.4,2024-11-20
USR-E5A74ACF,Healthcare,Clinical Admin,Europe,2,Gemini (Google),12768,1,10.8,2024-06-24
USR-F2DC79B6,Software Development,DevOps Engineer,North America,16,ChatGPT (OpenAI),2439,3,1.9,2023-08-19
USR-AA0B1BCB,Healthcare,Healthcare Analyst,North America,9,ChatGPT (OpenAI),12036,2,20.7,2025-08-14
USR-F9ADE0D9,Creative & Design,Graphic Designer,North America,9,Gemini (Google),5780,1,8.0,2023-05-26
USR-A45BAE7C,Marketing,Content Writer,Europe,21,ChatGPT (OpenAI),7149,1,17.6,2023-01-07
USR-4F315BE8,Education,Instructional Designer,Europe,23,Perplexity,4069,2,3.1,2023-09-06
USR-98BFCFC1,Healthcare,Healthcare Analyst,North America,8,Gemini (Google),2453,3,3.6,2023-03-06
USR-D0C25B33,Education,Instructional Designer,North America,14,Perplexity,2121,3,2.0,2025-11-13
USR-89D705C2,Creative & Design,Graphic Designer,North America,25,Midjourney,2191,3,3.3,2024-12-20
USR-E6C53485,Creative & Design,Graphic Designer,Europe,21,Midjourney,2572,1,4.6,2023-01-20
USR-B14521C7,Healthcare,Healthcare Analyst,Europe,21,Gemini (Google),8531,1,19.2,2024-04-18
USR-813BA165,Marketing,Marketing Analyst,Europe,22,Claude (Anthropic),11114,2,20.1,2025-02-18
USR-A5EF117B,Finance,Investment Banker,North America,15,Midjourney,2170,2,1.1,2024-08-19
USR-F5E5D42D,Marketing,Marketing Analyst,North America,11,ChatGPT (OpenAI),2627,3,2.4,2023-12-19
USR-827B617B,Software Development,DevOps Engineer,North America,14,DeepSeek,21286,2,27.1,2024-09-11
USR-41F7A90B,Education,Instructional Designer,Latin America,14,Claude (Anthropic),9574,2,22.8,2021-03-29
USR-03723A73,Finance,Investment Banker,Europe,22,Perplexity,11160,1,10.5,2022-04-26
USR-6C61B407,Healthcare,Clinical Admin,Europe,7,Perplexity,8664,3,5.9,2024-05-28
USR-FC04E3EF,Education,Instructional Designer,North America,7,Claude (Anthropic),15771,1,16.4,2023-08-02
USR-3B9A11F1,Education,Professor,North America,6,Perplexity,11303,2,7.4,2024-02-13
USR-EE656DC0,Marketing,Social Media Manager,Asia-Pacific,7,Gemini (Google),3972,3,5.3,2026-06-07
USR-36B7ABD7,Education,Student,Europe,4,Perplexity,10150,1,17.9,2024-08-21
USR-983D0BE1,Healthcare,Medical Researcher,Asia-Pacific,25,Perplexity,6147,1,7.1,2022-03-24
USR-3F07188B,Software Development,Software Engineer,North America,2,GitHub Copilot,30286,4,37.9,2024-10-18
USR-A8C17FF8,Healthcare,Medical Researcher,North America,18,Claude (Anthropic),10834,3,10.7,2022-10-12
USR-4B8C6278,Finance,Investment Banker,North America,15,Gemini (Google),12663,2,16.7,2023-11-25
USR-1AF55605,Healthcare,Clinical Admin,North America,2,ChatGPT (OpenAI),10329,2,16.3,2025-10-22
USR-9C619157,Software Development,QA Tester,Europe,12,Gemini (Google),8277,2,5.4,2023-12-03
USR-DFAC9036,Healthcare,Clinical Admin,Europe,7,Claude (Anthropic),8829,1,6.4,2024-05-29
USR-E18BE3AB,Education,Instructional Designer,Europe,17,Perplexity,4194,1,2.7,2026-01-13
USR-AD0B835C,Education,Professor,North America,17,Perplexity,5386,1,6.3,2023-01-05
USR-5A3CF162,Finance,Investment Banker,North America,5,Gemini (Google),7703,1,15.7,2023-01-01
USR-E9B8B062,Marketing,Content Writer,North America,25,ChatGPT (OpenAI),14381,1,9.1,2024-01-16
USR-6B045B2F,Software Development,Data Scientist,North America,1,GitHub Copilot,39025,6,66.9,2022-01-20
USR-6A8CA3C3,Marketing,Content Writer,North America,3,Perplexity,2257,2,3.6,2021-06-11
USR-1B3A9AD4,Software Development,Data Scientist,Europe,13,ChatGPT (OpenAI),10917,2,7.4,2023-08-29
USR-8862EC7B,Education,Student,North America,8,ChatGPT (OpenAI),12484,1,12.6,2024-01-19
USR-1DD0CE48,Finance,Accountant,Asia-Pacific,18,ChatGPT (OpenAI),4232,1,9.5,2026-06-10
USR-CA35B816,Finance,Financial Analyst,North America,16,Perplexity,11889,1,5.1,2022-10-21
USR-4400A29F,Education,Student,Europe,11,Gemini (Google),7131,1,9.1,2021-12-20
USR-B4E19D4F,Software Development,QA Tester,Asia-Pacific,4,GitHub Copilot,36922,3,31.0,2022-04-25
USR-3C8BCDAB,Healthcare,Medical Researcher,Asia-Pacific,10,Perplexity,4595,1,10.5,2024-11-09
USR-B2BE26A5,Creative & Design,UI/UX Designer,North America,5,Midjourney,1029,2,0.6,2024-06-11
USR-C9EE2F3D,Finance,Investment Banker,Latin America,6,Perplexity,13171,1,10.0,2024-09-11
USR-C5A5947F,Healthcare,Healthcare Analyst,Europe,23,ChatGPT (OpenAI),13172,1,8.9,2023-07-11
USR-125A600D,Healthcare,Healthcare Analyst,Latin America,13,Perplexity,1416,2,1.8,2023-06-05
USR-4062CCA0,Software Development,QA Tester,Europe,23,GitHub Copilot,13784,3,32.9,2023-07-02
USR-A3BC54C2,Education,Instructional Designer,North America,15,ChatGPT (OpenAI),2670,1,4.0,2024-03-06
USR-AFDC2DC4,Software Development,DevOps Engineer,North America,25,GitHub Copilot,52822,6,64.7,2024-10-14
USR-6226BD67,Creative & Design,Illustrator,North America,23,Gemini (Google),10523,2,21.1,2025-10-04
USR-0602C91F,Finance,Financial Analyst,Europe,21,Claude (Anthropic),4104,3,2.1,2022-06-07
USR-A7FDD470,Marketing,SEO Specialist,Europe,19,Claude (Anthropic),960,3,1.6,2023-01-24
USR-5A1ECE3F,Finance,Financial Analyst,North America,17,Claude (Anthropic),11446,2,16.1,2023-02-10
USR-C2CF50A7,Creative & Design,Graphic Designer,North America,2,ChatGPT (OpenAI),1481,3,1.6,2023-09-03
USR-F1EBEF9F,Creative & Design,UI/UX Designer,Europe,22,Claude (Anthropic),5852,1,9.6,2024-05-01
USR-F187C026,Creative & Design,Video Editor,Asia-Pacific,21,Midjourney,886,3,1.4,2026-04-19
USR-591684BE,Healthcare,Healthcare Analyst,Asia-Pacific,20,Claude (Anthropic),14474,2,21.0,2023-01-25
USR-874425A0,Education,Instructional Designer,Middle East & Africa,2,Claude (Anthropic),11391,1,22.4,2021-11-30
USR-49C0A921,Creative & Design,UI/UX Designer,Europe,23,ChatGPT (OpenAI),10040,2,5.5,2022-07-05
USR-EA559822,Education,Instructional Designer,Asia-Pacific,13,Gemini (Google),12093,1,14.1,2022-02-07
USR-F2545D5C,Software Development,Software Engineer,North America,19,ChatGPT (OpenAI),2833,2,4.1,2023-11-09
USR-203F28C8,Education,Teacher,Middle East & Africa,9,Perplexity,12513,2,24.3,2024-09-20
USR-C022F966,Software Development,QA Tester,Middle East & Africa,5,ChatGPT (OpenAI),1339,1,0.9,2024-12-20
USR-AED8D48E,Education,Student,Middle East & Africa,20,ChatGPT (OpenAI),8222,1,9.1,2023-10-16
USR-B2F7409C,Education,Professor,Asia-Pacific,17,ChatGPT (OpenAI),5578,1,3.5,2024-07-05
USR-BCC04064,Software Development,Software Engineer,North America,7,GitHub Copilot,27992,4,35.1,2023-05-09
USR-86A3D0FD,Software Development,QA Tester,North America,19,ChatGPT (OpenAI),11273,1,14.5,2023-12-04
USR-8BC77F39,Healthcare,Medical Researcher,North America,1,Perplexity,1639,3,1.3,2022-07-21
USR-1FA145DF,Marketing,Marketing Analyst,North America,3,Claude (Anthropic),8415,1,10.0,2024-01-20
USR-D5553E22,Healthcare,Medical Researcher,North America,6,ChatGPT (OpenAI),9955,1,17.2,2024-06-06
USR-94EFE54B,Education,Teacher,Middle East & Africa,14,ChatGPT (OpenAI),15057,1,16.8,2023-06-23
USR-F4600711,Creative & Design,Graphic Designer,Middle East & Africa,4,Midjourney,1102,1,1.1,2022-09-17
USR-B44BDE1E,Creative & Design,Illustrator,North America,7,Claude (Anthropic),7842,2,10.6,2024-11-18
USR-BBE54D83,Marketing,SEO Specialist,North America,19,Perplexity,6064,3,6.7,2023-08-02
USR-8E7D95E7,Software Development,QA Tester,Asia-Pacific,13,DeepSeek,38280,2,32.8,2023-10-19
USR-A29C7B7A,Healthcare,Medical Researcher,Asia-Pacific,22,Perplexity,3057,3,3.9,2024-08-22
USR-78094BF5,Marketing,Social Media Manager,North America,1,Midjourney,2287,1,3.2,2024-01-24
USR-300CA10A,Healthcare,Medical Researcher,North America,14,Claude (Anthropic),4645,1,2.8,2024-01-18
USR-7F11B6F7,Software Development,Software Engineer,North America,11,ChatGPT (OpenAI),14733,1,17.6,2024-11-29
USR-E9596205,Marketing,Content Writer,North America,2,Gemini (Google),9249,1,9.5,2023-04-09
USR-4CE562EA,Healthcare,Healthcare Analyst,Europe,6,ChatGPT (OpenAI),14536,1,21.8,2023-08-12
USR-184199F2,Healthcare,Clinical Admin,Europe,14,ChatGPT (OpenAI),5953,1,11.0,2024-05-24
USR-EB72EBB7,Marketing,SEO Specialist,North America,15,Claude (Anthropic),13862,1,11.1,2026-05-23
USR-1AFF4D5A,Creative & Design,Graphic Designer,Asia-Pacific,9,ChatGPT (OpenAI),5832,1,10.4,2023-07-30
USR-D50E46F3,Education,Instructional Designer,Asia-Pacific,4,Midjourney,991,3,1.5,2023-07-29
USR-125216A7,Software Development,Software Engineer,Asia-Pacific,2,DeepSeek,24287,3,30.6,2024-05-25
USR-34533643,Marketing,Content Writer,Asia-Pacific,4,Perplexity,5281,1,5.5,2021-10-19
USR-1AF035CA,Education,Instructional Designer,Asia-Pacific,19,Claude (Anthropic),2037,2,3.7,2024-07-02
USR-D1966B24,Education,Professor,North America,2,ChatGPT (OpenAI),856,3,1.5,2023-11-02
USR-63B4C4BB,Education,Student,North America,23,Claude (Anthropic),3064,2,1.9,2023-09-07
USR-6E073B44,Education,Instructional Designer,North America,11,Claude (Anthropic),4854,2,6.3,2025-04-05
USR-FF60E84C,Software Development,Data Scientist,Europe,3,GitHub Copilot,33076,1,18.4,2023-06-13
USR-B7C7C5B9,Software Development,Software Engineer,Latin America,11,GitHub Copilot,44307,11,84.9,2024-02-25
USR-C368022E,Software Development,Data Scientist,Europe,13,ChatGPT (OpenAI),11433,2,14.9,2024-09-17
USR-11D4B50A,Finance,Financial Analyst,North America,19,Gemini (Google),12304,1,14.0,2025-02-01
USR-98DB5389,Finance,Accountant,Latin America,4,Gemini (Google),8252,1,10.4,2022-05-10
USR-4115C315,Healthcare,Healthcare Analyst,North America,11,ChatGPT (OpenAI),4452,2,8.3,2023-10-07
USR-6417FB56,Healthcare,Healthcare Analyst,Asia-Pacific,19,ChatGPT (OpenAI),11756,2,17.7,2026-03-17
USR-6CB61CBA,Healthcare,Healthcare Analyst,Asia-Pacific,13,Midjourney,1295,1,2.2,2022-05-19
USR-10561C3F,Education,Teacher,Europe,15,Perplexity,6534,1,13.3,2022-11-20
USR-0AEA028E,Creative & Design,Video Editor,Middle East & Africa,23,Midjourney,2028,2,1.6,2023-10-31
USR-8650B1E5,Finance,Investment Banker,North America,21,ChatGPT (OpenAI),10990,1,15.0,2023-09-09
USR-3C44F6E7,Education,Student,North America,1,Perplexity,6189,3,5.0,2024-08-14
USR-75439AF6,Finance,Financial Analyst,Europe,11,ChatGPT (OpenAI),9304,2,20.4,2025-05-18
USR-C75475E5,Marketing,Content Writer,North America,23,Perplexity,6238,3,5.6,2025-12-07
USR-03429CBF,Finance,Investment Banker,North America,8,ChatGPT (OpenAI),6848,1,4.7,2021-10-02
USR-C0C52DB9,Marketing,SEO Specialist,Asia-Pacific,23,ChatGPT (OpenAI),8345,1,16.2,2024-02-13
USR-C518B122,Education,Student,Latin America,19,Gemini (Google),11219,2,19.0,2022-04-29
USR-E0A9BC50,Creative & Design,Video Editor,Europe,19,Midjourney,1335,2,1.2,2023-05-16
USR-1ED9D3A2,Marketing,Marketing Analyst,Latin America,5,ChatGPT (OpenAI),1542,3,1.1,2024-01-03
USR-6B179361,Education,Student,Europe,10,Perplexity,10435,2,17.2,2024-07-29
USR-F1CC9AFF,Software Development,Software Engineer,Europe,13,Claude (Anthropic),13543,2,22.2,2022-01-13
USR-978BE798,Education,Instructional Designer,Asia-Pacific,18,Claude (Anthropic),3753,1,1.6,2024-03-14
USR-D0627727,Healthcare,Clinical Admin,Asia-Pacific,11,ChatGPT (OpenAI),1537,3,2.2,2023-01-24
